start_time_lst,end_time_lst,benzene,tvoc,flags,units,deployment_id,deployment_name,pad_name,pad_lat,pad_lon,camml_lat,camml_lon,operational_phase,distance_to_source_ft,source_direction_degrees,gc_end_time,gc_id,n,RH,T(ambient),P(barometric),SolarRadiation,PM2.5(LTP),PM10(LTP),CH4,NO,NO2,NOx,O3,T(shelter),CO2,u,v,tvoc_low,tvoc_high,WindSpeed,WindDirection
2019-08-23T12:14:00Z,2019-08-23T12:59:00Z,0.35336,28.337042222222223,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T12:59:00Z,3831,45,81.96818181818182,15.656818181818181,641.1590666666667,28.092931818181818,21.846666666666668,32.784444444444446,1.4090888888888888,7.7123333333333335,17.449577777777776,25.101755555555556,6.900244444444445,25.404444444444444,482.61,0.09526959624533954,-1.0034633958259012,28.337042222222223,28.337042222222223,1.0079757351896916,-1.4761392726937572
2019-08-23T13:12:00Z,2019-08-23T13:56:00Z,0.553217,26.47754318181818,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T13:56:00Z,3832,44,77.92727272727272,16.46590909090909,641.5657045454545,156.84513636363636,16.879545454545454,76.62045454545455,2.9486363636363637,9.064068181818183,18.115000000000002,27.179386363636365,9.710863636363637,25.220454545454544,483.9704545454546,0.5752168874087991,-0.9533106143729448,26.47754318181818,26.47754318181818,1.113407200909168,-1.0278888330389044
2019-08-23T14:09:00Z,2019-08-23T14:53:00Z,0.329677,22.898636363636363,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T14:53:00Z,3833,44,64.55227272727272,19.388636363636362,641.9445454545455,398.8429318181818,9.25909090909091,37.61363636363637,-0.13870454545454547,5.292545454545454,15.672931818181818,20.96275,24.766159090909092,24.804545454545455,444.67954545454546,-0.2693848500403589,-1.980162664889499,22.898636363636363,22.898636363636363,1.9984024561768206,-1.7060080447101569
2019-08-23T15:06:00Z,2019-08-23T15:51:00Z,0.230874,18.86992,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T15:51:00Z,3834,45,59.04222222222222,20.920454545454547,642.1848444444445,556.6652888888889,6.722222222222222,17.037777777777777,-0.12224444444444445,1.7492666666666667,8.523466666666666,10.272555555555556,33.62537777777778,23.95111111111111,430.1455555555556,-0.8298495581497607,-2.31281160803798,18.86992,18.86992,2.4571829039443887,-1.915294063631103
2019-08-23T17:01:00Z,2019-08-23T17:45:00Z,0.0680564,8.020859090909092,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T17:45:00Z,3835,44,50.18863636363636,24.91627906976744,642.1557045454546,439.3433181818182,7.086363636363636,22.62272727272727,0.8763720930232558,0.8422499999999999,5.223295454545455,6.06825,50.38293181818182,23.875,427.0988372093023,-2.9097242882004046,-0.2607901560848248,8.020859090909092,8.020859090909092,2.921387844647488,-3.052204393317916
2019-08-23T17:58:00Z,2019-08-23T18:43:00Z,0.0659812,16.93874222222222,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T18:43:00Z,3836,45,40.97317073170732,26.614634146341462,641.6709777777778,541.6347111111111,7.473333333333334,30.64666666666667,2.018422222222222,0.6462888888888889,4.281355555555556,4.927288888888889,57.178533333333334,23.524444444444445,431.4211111111111,-2.661637025660893,-0.019476020068851414,16.93874222222222,16.93874222222222,2.6617082807337638,-3.134275475368013
2019-08-23T18:55:00Z,2019-08-23T19:40:00Z,0.0649821,18.41006,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T19:40:00Z,3837,45,36.29705882352941,28.183783783783785,640.9656888888888,703.8389545454546,6.315555555555555,21.25111111111111,2.0106,0.4590222222222222,3.6929555555555558,4.1524222222222225,61.69206666666667,23.511111111111113,428.80333333333334,-4.309408711713728,-1.4368224231971178,18.41006,18.41006,4.542627226660384,-2.8197684093708433
2019-08-23T19:53:00Z,2019-08-23T20:37:00Z,0.045088,18.973643181818183,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T20:37:00Z,3838,44,29.754545454545454,30.09090909090909,641.5881363636363,713.3239090909091,4.9795454545454545,16.37272727272727,1.9550454545454545,0.4576818181818182,2.8805454545454547,3.3382045454545453,66.47361363636364,24.097727272727273,428.0477272727273,-2.428060840649782,-1.342470391761634,18.973643181818183,18.973643181818183,2.7744740400035393,-2.6365270846658753
2019-08-23T20:50:00Z,2019-08-23T21:34:00Z,0.0347338,19.058502272727274,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T21:34:00Z,3839,44,28.79047619047619,30.970454545454547,640.8845,714.7137954545454,5.0613636363636365,16.277272727272727,1.9626363636363637,0.45343181818181816,2.662818181818182,3.116840909090909,66.44477272727272,24.236363636363635,427.85227272727275,-3.670411677005401,-0.49630025690316953,19.058502272727274,19.058502272727274,3.7038136864183318,-3.0071912970991077
2019-08-23T21:47:00Z,2019-08-23T22:31:00Z,0.0400573,11.661909090909091,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T22:31:00Z,3840,44,35.722727272727276,30.525,640.8030681818182,535.3561818181818,6.777272727272727,22.80909090909091,1.9927954545454545,0.7078863636363636,3.605272727272727,4.314181818181818,59.67720454545454,24.31818181818182,425.525,-5.439386297115378,0.7851376417191626,11.661909090909091,11.661909090909091,5.495758765238052,2.9982397078510483
2019-08-23T22:44:00Z,2019-08-23T23:28:00Z,0.0422989,-3.797461363636364,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-23T23:28:00Z,3841,44,40.98863636363636,27.625,640.6873636363637,291.3619772727273,18.311363636363637,128.73181818181817,1.986340909090909,0.5000227272727272,3.1127954545454544,3.613159090909091,54.31797727272727,24.027272727272727,426.4340909090909,-6.056625124486085,4.703618368119685,-3.797461363636364,-3.797461363636364,7.6685548606937,2.481279290652743
2019-08-23T23:41:00Z,2019-08-24T00:26:00Z,0.0396763,27.83656,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T00:26:00Z,3842,45,35.64222222222222,26.40888888888889,640.7082888888889,129.43926666666667,10.02,52.58,2.5633777777777778,0.5382222222222222,2.9199333333333333,3.453777777777778,56.797133333333335,24.224444444444444,427.1477777777778,-1.3476677197070537,6.239427274409498,27.83656,27.83656,6.3833111310185675,1.7835206698644872
2019-08-24T00:38:00Z,2019-08-24T01:23:00Z,0.781801,20.18066888888889,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T01:23:00Z,3843,45,38.93111111111111,24.988888888888887,641.5262,57.717666666666666,8.062222222222223,34.26,1.960888888888889,0.5144666666666666,3.267733333333333,3.782711111111111,56.5262,24.1,429.74111111111114,-3.176508402195279,-1.0509376071504808,20.18066888888889,20.18066888888889,3.345844509737472,-2.822081655396412
2019-08-24T01:36:00Z,2019-08-24T02:20:00Z,0.0782156,20.677868181818184,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T02:20:00Z,3844,44,46.43181818181818,22.436363636363637,641.5140454545455,2.0376363636363637,7.334090909090909,28.35,2.10825,0.5420909090909091,4.362590909090909,4.905704545454546,46.53725,24.347727272727273,438.99545454545455,-1.8338425170542578,0.1383008197355266,20.677868181818184,20.677868181818184,1.8390501608426602,3.066319279863616
2019-08-24T02:33:00Z,2019-08-24T03:17:00Z,0.134937,21.420775,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T03:17:00Z,3845,44,46.29545454545455,22.35,642.3390227272728,0.3835454545454545,8.277272727272727,29.197727272727274,2.112,0.5743181818181818,9.192340909090909,9.766931818181819,38.71929545454545,24.60909090909091,448.1159090909091,-0.1844478585929034,-0.12610808450452984,21.420775,21.420775,0.22343737717067244,-2.5418862554054793
