gc_id,WindDirection_1,WindDirection_2,WindDirection_3,WindDirection_4,WindDirection_5,WindDirection_6,WindDirection_7,WindDirection_8,WindDirection_9,tvoc_1,tvoc_2,tvoc_3,tvoc_4,tvoc_5,tvoc_6,tvoc_7,tvoc_8,tvoc_9
1134,1.8916607563076875,1.819009178776853,2.331060932783281,2.2901426274438936,2.4854661864272316,1.7603530291168623,1.4446137409728173,1.4323532556449121,1.7679395980103076,0.009524999999999999,0.0095,0.0095,0.00945,0.0094,0.0094333333333333335,0.0094,0.009366666666666667,0.0094
1135,1.628500537352783,1.953260468441047,2.057700377387704,1.8157705619632936,2.3188462567080537,2.405186043142193,1.7357563152631539,1.6473749384068836,2.196269659188982,0.0092,0.0092,0.009233333333333333,0.0092,0.0092,0.0092,0.009274999999999999,0.009266666666666666,0.0092
1136,2.0727538157072796,2.0915662235069172,2.1789225000647647,2.1367639456030716,2.0921309644275996,2.516956718475723,2.1722156674816193,2.4005900434933474,2.617378200803882,0.009225,0.0092,0.0092,0.0092,0.0092,0.0092,0.009225,0.009233333333333333,0.0092
1137,2.729452637474133,2.7523842303950574,2.775637715974024,2.61740067103919,2.50627160197125,2.436712431275424,2.449680343829927,2.4142841623268527,2.338920950170488,0.009049999999999999,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
1138,2.207888197098614,2.166022240012863,2.13474915138707,2.2312484202890226,2.256993914629897,2.2717847949367234,2.2657934669308504,2.2552845073908827,2.326430803955779,0.009125000000000001,0.0091,0.0091,0.0091,0.0091,0.009166666666666667,0.009125000000000001,0.009166666666666667,0.0092
1139,0.24289655220893433,0.6845018725911093,1.298717660955089,1.3733936399330668,1.6330037181921406,1.8788716290140797,1.9540071385293665,1.6114988807005914,1.1169446704086787,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095,0.0096,0.0096
1140,1.7898973535954366,1.6960547270614146,1.7361460780228803,1.5914986838878713,0.9325565578117381,0.14770802457412743,-0.4013369222715746,-0.6599889752653678,-1.0047577875013503,0.009850000000000001,0.0099,0.01,0.010075,0.010133333333333333,0.0102,0.0102,0.0102,0.0102
1141,1.979108630962925,2.1871095746441225,-2.415596228290077,-1.970858763552407,-2.0970229464990022,-2.0476533252149776,-2.224112165150758,-2.4208738785868618,-2.6777249199546227,0.009649999999999999,0.0096,0.0096,0.00955,0.0096,0.0096,0.009725000000000001,0.0098,0.009766666666666667
1142,2.2224975914210785,-2.5875727951126395,-1.5396739605642467,-1.6340494393283624,-1.566666595701344,-2.415486691062327,-2.36167699379985,-0.35903144505481205,0.8786473235572182,0.009325,0.0094,0.0094,0.0094,0.0094,0.0094,0.0095,0.0095,0.0095
1143,0.9313459776848017,0.662483476512422,0.8325884993451325,1.1806111911867676,0.9237197801303668,0.33560124151405213,0.5346540857173729,0.06877518299859194,-0.44798267048776486,0.00975,0.009666666666666667,0.0096,0.009575,0.0095,0.0095,0.0096,0.0096,0.0096
1144,0.9203471899761597,0.8164689829067597,0.8609484952530015,0.7887892100072296,0.9693895366635596,1.1080602974781428,1.1095756737945908,0.9854499725327152,1.26417911675775,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.009274999999999999,0.0092,0.009166666666666667
1145,1.8305225720287244,2.30089241021034,2.6092582334971124,2.4422233791524834,2.308787080485686,1.9830809085130165,1.9135117890486735,2.0097659578485407,2.12858848409896,0.0088,0.008766666666666667,0.0087,0.008674999999999999,0.0086,0.0086,0.0086,0.0086,0.0087
1146,2.22464644844743,1.8053265597002959,1.5265379412205315,2.2301035275948826,2.328269222160436,1.3587388226775856,1.7466430262942987,2.1529828327322473,-1.383576434724366,0.0085,0.008466666666666667,0.008366666666666666,0.00825,0.0082,0.008166666666666668,0.00805,0.008,0.007966666666666667
1147,-3.115801248476338,-2.4317378038248547,-2.5152213339562195,-2.3786003968287583,-2.7717574023770846,-2.8526587067065177,-2.5695993981130263,-2.5914934091445256,-2.9233384534596434,0.0075,0.0075,0.0075,0.0076500000000000005,0.008066666666666666,0.008433333333333333,0.008775,0.008966666666666666,0.009133333333333334
1148,0.6088836155455578,-0.6178949696251819,-0.29214726330922725,1.3107115702748104,-1.3953410788302902,-0.9753118478203748,-1.4622404313851292,-0.8388072098301835,1.5168503241255045,0.008725,0.008566666666666667,0.0085,0.008425,0.0084,0.0083,0.0083,0.0083,0.0083
1149,3.0999599909299898,3.05035166627699,2.9635008271771706,2.861026601711373,2.96773180451699,2.9546253222484555,2.7648983504299443,2.3959557400687364,2.4813890112497727,0.0079,0.0079,0.007866666666666668,0.007875,0.0079,0.0078,0.0078,0.0077,0.0076
1150,2.231495658681429,2.1990830202509772,2.430946796296407,2.4363138223307312,2.4058929090224765,2.074533675871187,2.1498544106676998,2.3315019411373368,2.490085883646536,0.007775,0.007933333333333334,0.008066666666666666,0.008175,0.0082,0.0083,0.008375,0.008466666666666667,0.0086
1151,2.3108095093446717,2.226863346331725,2.3711356639134147,2.533108911603449,2.7345173520900343,2.8926978404091384,-0.9028699369248359,1.3161655985769913,1.2927664215926342,0.008074999999999999,0.008,0.0079,0.00775,0.007633333333333333,0.007566666666666667,0.007475,0.0074,0.0074
1152,0.6115023367724501,0.23680064849573426,-0.3531929792766498,-0.3907993056952234,0.25775861562872265,0.9181561202246817,0.610555634769515,0.9512790950785662,1.1808353871276163,0.007325,0.007366666666666667,0.0074,0.0075,0.0076,0.0076,0.0076,0.007666666666666667,0.007633333333333333
