StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],trans-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],"2,3-dimethyl-butane_[ppbV]",3-methyl-pentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_[ppbV]",p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],n-decane_[ppbV]
06/09/2017 7:54,06/09/2017 8:24,0.839,,8.009,0.105,4.024,1.04,,2.254,,1.354,,0.365,1.125,,0.076,,,0.822,0.252,0.686,0.227,0.255,,,0.113,0.103,0.217,0.194,0.535,0.098,,,0.056,,,0.068,,0.077,,,,,
06/09/2017 9:00,06/09/2017 9:30,0.191,0.248,2.2,,0.68,0.073,,0.329,,0.32,,0.205,0.184,,,,,0.191,,0.14,0.058,,,,,,,,0.141,0.06,,,,,,,,0.107,,,,,
06/09/2017 10:07,06/09/2017 10:37,0.2,0.155,3.197,,1.253,0.221,,0.613,,0.379,,0.101,0.307,,,,,0.285,0.055,0.233,0.098,0.14,,,,,,,0.09,,,,,,,,,0.106,,,,,
06/09/2017 11:15,06/09/2017 11:45,,,1.359,,0.576,,,0.098,,0.117,,0.415,,,,,,0.079,,,,,,,,,,,,,,,,,,,,0.119,,,,,
06/09/2017 12:23,06/09/2017 12:53,,,9.189,,4.123,1.054,,2.354,,1.21,,0.56,1.215,,0.089,,,0.94,0.265,0.863,0.198,0.341,,,0.128,0.122,0.265,0.263,0.202,,,,0.068,,,,,0.121,,,,,
06/09/2017 13:31,06/09/2017 14:01,,,3.245,,1.301,0.295,,0.689,,0.383,,0.354,0.337,,,,,0.292,0.051,0.224,0.074,,,,,,,,,,,,,,,,,0.126,,,,,
06/09/2017 16:59,06/09/2017 17:30,0.189,,1.302,,0.821,0.173,,0.799,,0.603,,0.312,0.27,,,,,0.209,,0.08,0.059,,,,,,,,0.082,,,,,,,,,0.105,,,,,
06/09/2017 18:08,06/09/2017 18:38,,,1.872,,0.913,0.175,,0.545,,0.52,,0.46,0.25,,,,,0.166,,0.11,,,,,,,,,0.13,,,,,,,,,0.076,,,,,
06/09/2017 19:15,06/09/2017 19:45,1.37,1.789,6.212,0.231,5.224,0.726,,2.076,,1.19,,0.656,0.712,,0.055,,,0.643,0.174,0.35,0.189,0.196,,,0.108,0.123,0.191,0.114,0.493,0.115,,0.056,0.062,,0.195,0.074,,0.088,0.102,0.055,0.075,0.12,
06/09/2017 20:18,06/09/2017 20:48,1.051,0.635,5.761,0.198,3.229,0.688,,1.796,,1.281,,0.523,0.67,,,,,0.517,0.139,0.305,0.183,0.147,,,0.06,0.07,0.093,0.059,0.575,0.099,,,,,0.11,0.055,,0.094,,0.055,0.076,,
06/09/2017 21:21,06/09/2017 21:51,1.384,1.03,5.628,0.268,2.791,0.761,,2.097,,1.812,0.05,0.325,0.95,,0.06,,,0.709,0.205,0.359,0.249,0.175,,,0.092,0.112,0.112,0.051,0.764,0.154,,,,,0.238,0.086,,0.078,,,0.058,0.056,
06/09/2017 22:26,06/09/2017 22:56,0.92,0.532,5.302,0.181,2.364,0.615,,1.772,,1.637,,0.381,0.809,,,,,0.638,0.166,0.333,0.205,0.17,,,0.079,0.079,0.09,,0.727,0.15,,,,,0.191,0.079,,0.069,,,0.05,,
06/09/2017 23:33,06/10/2017 0:03,0.753,0.586,11.404,0.143,5.052,1.021,,2.425,,1.546,,0.451,0.993,,0.052,,,0.609,0.145,0.339,0.18,0.177,,,0.075,0.084,0.111,0.083,0.638,0.123,,,,,0.213,0.084,,0.066,,,0.065,,
06/10/2017 0:41,06/10/2017 1:11,0.659,0.419,9.766,0.103,5.873,1.198,,3.016,,1.66,,0.435,1.205,,,,,0.635,0.186,0.413,0.166,0.238,,0.065,0.094,0.096,0.125,0.101,0.669,0.309,,,,,0.282,0.073,,0.06,,,0.065,,
