StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],cis-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],1-hexene_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",n-propyl-benzene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],m-diethyl-benzene_[ppbV]
07/28/2017 18:50:00,07/28/2017 19:20:00,0.235,0.197,3.259,,1.682,0.252,,0.68,,0.224,0.402,,,0.290737406,0.207136406,,,,,,0.094,0.067,,,,,,,,0.128,,,,,,,,,0.059,,,,,,,,,,,,,
07/28/2017 19:49:00,07/28/2017 20:19:00,0.384,0.295,3.625,0.087,2.608,0.509,,1.123,,0.367,0.611,,,0.494826625,0.165693083,,0.087,,0.072,0.077,0.175,0.091,,,,0.072,,,,0.231,,,,,,,0.08,,,,,,,,,,,,,,,
07/28/2017 20:49:00,07/28/2017 21:19:00,0.647,0.308,3.487,0.15,2.483,0.51,,1.347,,0.456,0.971,,,0.689726198,0.061557969,,0.168,,0.143,0.129,,0.142,0.07,,,0.164,0.092,0.076,0.089,0.408,0.0816,,,,,,0.091,,0.099,,,,,,,,,0.055,,,,
07/28/2017 21:49:00,07/28/2017 22:19:00,0.651,0.293,16.919,0.153,11.955,2.644,,6.485,0.095,2.207,2.537,,0.116621625,2.939852625,,0.2223535,0.504,0.05,0.4,0.511,1.063,0.232,0.364,,0.057,0.368,0.178,0.499,0.439,0.511,,,0.103,0.131,0.167,,0.211,,0.144,0.147,,0.055,,,0.103,,,0.153,,,0.106,
07/28/2017 22:49:00,07/28/2017 23:19:00,0.117,0.074,2.748,,1.768,0.204,,0.534,,0.174,0.232,,,0.170795906,,,,,,,0.062,,,,,,,,,0.052,,,,,,,,,,0.052,,,,,,,,,,,,
07/28/2017 23:48:00,07/29/2017 0:18:00,0.127,0.077,2.69,,1.413,0.179,,0.407,,0.131,0.197,,,0.153981208,,,,,,,0.064,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 1:48:00,07/29/2017 2:18:00,0.249,0.106,14.385,,8.416,1.397,,3.238,,1.093,1.022,,,1.151218333,,0.068679167,0.172,,0.136,0.168,0.376,0.081,0.097,,,0.118,,0.162,0.147,0.176,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 2:48:00,07/29/2017 3:18:00,0.246,0.113,6.169,,3.595,0.576,,1.485,,0.501,0.749,,,0.677288198,,,0.132,,0.102,0.129,0.299,0.062,0.059,,,0.1,,0.106,0.091,0.197,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 4:47:00,07/29/2017 5:17:00,0.465,0.245,7.922,0.075,4.744,0.902,,1.98,,0.668,1.035,,,0.969536125,,0.06260599,0.187,,0.149,0.168,0.353,0.119,0.113,,,0.156,,0.132,0.125,0.362,,,,,,,0.051,,0.076,,,,,,,,,,,,,
07/29/2017 5:47:00,07/29/2017 6:17:00,0.539,0.269,8.063,0.094,4.672,0.922,,2.167,,0.74,1.193,,0.052221417,1.088962333,,0.068656583,0.211,,0.17,0.177,0.388,0.129,0.096,,,0.144,,0.131,0.135,0.41,,,,,,0.052,0.082,,0.097,,,,,,,,,,,,,
