StartTime_[LST],EndTime_[LST],WindSpeed_[m/s],WindDirection_[degrees],RH_[percent],T(ambient)_[C],P(barometric)_[mmHG],T(shelter)_[C],SolarRadiation_[W/m2],VOC(pid)_[ppbV],PM2.5(LTP)_[ug/m3],PM10(LTP)_[ug/m3],CO2_[ppmV],CH4_[ppmV],NO_[ppbV],NO2_[ppbV],NOx_[ppbV],O3_[ppbV]
05/06/2019 10:34:00,05/06/2019 10:34:59,3.42,169,60.8,14.4,641.955,22.8,980.057,7.3167,17.5,24.9,541.45,2.06,1.016,4.145,5.149,25.616
05/06/2019 10:35:00,05/06/2019 10:35:59,3.32,133.3,61,14.9,641.944,22.9,995.496,7.25,16.8,24.8,526.05,2.058,0.97,3.806,4.777,26.4
05/06/2019 10:36:00,05/06/2019 10:36:59,3.32,124.6,59.7,15,641.93,22.9,975.202,7.3,16.6,22,507.65,2.055,0.927,3.523,4.45,27.166
05/06/2019 10:37:00,05/06/2019 10:37:59,3.42,131.2,58.3,15.3,641.91,23,972.222,7.35,16.7,21.8,495.75,2.052,0.914,3.257,4.171,27.266
05/06/2019 10:38:00,05/06/2019 10:38:59,3.19,144.3,59.2,15.4,641.888,23.1,998.484,7.2333,17.4,23.2,485.25,2.049,0.901,3.045,3.947,27.966
05/06/2019 10:39:00,05/06/2019 10:39:59,3.01,140.3,58.5,15.4,641.862,23.2,982.569,7.2875,16.4,20.9,471.35,2.043,0.895,2.834,3.729,28.7
05/06/2019 10:40:00,05/06/2019 10:40:59,3.06,167.5,59.5,15.4,641.836,23.3,960.834,7.325,16.5,21.5,459.85,2.038,0.901,2.645,3.546,29
05/06/2019 10:41:00,05/06/2019 10:41:59,2.97,173.5,58.8,15.2,641.81,23.4,945.736,7.3333,16.7,22.4,453.75,2.035,0.869,2.576,3.446,29.166
05/06/2019 10:42:00,05/06/2019 10:42:59,3.02,175.8,59.1,15,641.788,23.5,986.433,7.2833,16.6,21.7,446.65,2.032,0.81,2.493,3.303,28.1
05/06/2019 10:43:00,05/06/2019 10:43:59,2.99,193.8,59,15,641.768,23.6,1002,7.25,16.8,22.5,441.05,2.03,0.8,2.421,3.221,27.683
05/06/2019 10:44:00,05/06/2019 10:44:59,3.03,149.4,60.3,15.1,641.751,23.7,626.646,7.2125,16.9,21.4,439.65,2.029,0.807,2.368,3.175,27.216
05/06/2019 10:45:00,05/06/2019 10:45:59,2.98,116.7,60.5,15.2,641.735,23.8,708.198,7.2571,17.7,23.2,439.95,2.029,2.136,1.815,5.242,27.333
05/06/2019 10:46:00,05/06/2019 10:46:59,2.99,119.5,60.1,15.5,641.722,23.8,1063.11,7.3375,18.3,29,461.05,2.037,23.973,11.716,35.69,23.583
05/06/2019 10:47:00,05/06/2019 10:47:59,2.95,132.2,59.2,15.9,641.709,23.9,1079.51,7.3625,18.1,34.2,483.15,2.048,15.453,17.571,33.025,17.483
05/06/2019 10:48:00,05/06/2019 10:48:59,3.05,101.5,58.7,15.9,641.697,24,1093.41,7.5,17.6,26.1,504.75,2.061,9.504,17.446,26.951,14.566
05/06/2019 10:49:00,05/06/2019 10:49:59,3.1,88,60.2,15.8,641.685,24.1,1081.29,7.5,18,29.3,502.55,2.08,4.938,12.947,17.886,14.866
05/06/2019 10:50:00,05/06/2019 10:50:59,3.11,134.3,57.2,15.8,641.672,24.1,1081.83,7.5,18.4,29.6,483.25,2.073,3.26,9.952,13.184,19.316
05/06/2019 10:51:00,05/06/2019 10:51:59,3.12,158.9,57.6,15.5,641.658,24.2,1038.3,7.2571,17.4,24,486.05,2.063,3.045,9.42,12.459,23.633
05/06/2019 10:52:00,05/06/2019 10:52:59,3.07,107.7,58.5,15.5,641.64,24.2,1033.77,7.2429,17.2,25.8,496.05,2.063,2.798,8.83,11.629,25.483
05/06/2019 10:53:00,05/06/2019 10:53:59,3.16,127.6,59.2,15.3,641.621,24.3,1047.53,7.2143,17.6,27.5,491.15,2.059,2.793,7.919,10.712,27.3
05/06/2019 10:54:00,05/06/2019 10:54:59,3.21,157,58.2,15.4,641.602,24.4,1057.85,7.2429,17.9,26.6,488.35,2.058,3.125,7.243,10.368,28.75
05/06/2019 10:55:00,05/06/2019 10:55:59,3.19,189.5,58.9,15.2,641.529,24.4,1046.43,7.2714,18.2,26.5,508.35,2.067,3.021,6.677,9.676,27.333
05/06/2019 10:56:00,05/06/2019 10:56:59,3.2,156.4,59.3,15.4,641.402,24.5,717.986,7.2857,18.6,27.4,510.55,2.068,2.812,6.074,8.879,25.333
05/06/2019 10:57:00,05/06/2019 10:57:59,3.25,129,59.3,15.4,641.222,24.6,471.055,7.3667,18.4,29.6,504.25,2.067,2.571,5.516,8.088,22.733
05/06/2019 10:58:00,05/06/2019 10:58:59,3.24,123,60.5,15.1,640.986,24.7,756.491,7.4143,18.8,30.4,498.75,2.065,2.451,5.235,7.687,21.15
05/06/2019 10:59:00,05/06/2019 10:59:59,3.08,123.9,60.3,15.3,640.696,24.8,1147.73,7.4,19,28.4,492.95,2.063,2.428,5.202,7.63,20.3
05/06/2019 11:00:00,05/06/2019 11:00:59,2.83,95.7,60.6,15.1,640.46,24.9,1100.23,7.4,18.9,32.3,488.75,2.062,2.448,5.211,7.66,19.916
05/06/2019 11:01:00,05/06/2019 11:01:59,2.77,96.9,61.6,15.2,640.278,25,910.436,7.4,19.2,30.1,484.05,2.062,2.115,5.576,7.663,19.35
05/06/2019 11:02:00,05/06/2019 11:02:59,2.68,101.4,60.5,15.1,640.151,25.2,818.136,7.5143,19.1,31,480.05,2.063,1.659,5.596,7.237,18.55
05/06/2019 11:03:00,05/06/2019 11:03:59,2.47,89.4,,,640.08,25.3,951.352,7.3833,19,33.6,475.15,2.063,1.579,5.572,7.151,18.216
05/06/2019 11:04:00,05/06/2019 11:04:59,2.36,139.2,59.5,15.7,640.064,25.4,940.143,7.3875,19.7,32.7,471.35,2.062,1.543,5.451,6.994,18.5
05/06/2019 11:05:00,05/06/2019 11:05:59,2.26,182.2,58.6,15.8,640.105,25.4,981.606,7.4167,19.5,32.6,477.05,2.064,1.52,5.283,6.803,19.216
05/06/2019 11:06:00,05/06/2019 11:06:59,2.36,186.6,58.5,15.5,640.202,25.4,661.85,7.3143,19.2,32.1,470.65,2.063,1.494,5.046,6.541,21.5
05/06/2019 11:07:00,05/06/2019 11:07:59,2.58,201.5,58.8,15.7,640.355,25.4,859.083,7.2857,18.9,29.8,500.45,2.071,1.474,4.797,6.262,25.116
05/06/2019 11:08:00,05/06/2019 11:08:59,2.43,192.5,57.9,15.8,640.539,25.3,551.608,7.3714,18.6,27.5,529.15,2.086,1.423,4.52,5.944,27.85
05/06/2019 11:09:00,05/06/2019 11:09:59,2.54,149.5,58.3,15.8,640.753,25.2,1056.51,7.2875,18.9,33.6,550.95,2.097,1.368,4.259,5.626,28.416
05/06/2019 11:10:00,05/06/2019 11:10:59,2.67,124.8,57.4,16,640.89,25.2,1076.19,7.3429,18.6,28.5,500.45,2.076,1.3,3.968,5.269,28.3
05/06/2019 11:11:00,05/06/2019 11:11:59,2.63,112.4,57.1,15.7,640.948,25.1,1095.26,7.25,18.8,26.6,481.95,2.068,1.248,3.68,4.928,29.05
05/06/2019 11:12:00,05/06/2019 11:12:59,2.79,120,58.1,15.8,640.926,25,840.258,7.2714,19.3,30.6,473.95,2.066,1.21,3.438,4.647,29.566
05/06/2019 11:13:00,05/06/2019 11:13:59,2.9,90.4,58.6,15.6,640.872,24.9,575.197,7.2143,19.4,33.2,481.75,2.064,1.188,3.232,4.42,30.216
05/06/2019 11:14:00,05/06/2019 11:14:59,2.99,70.4,59.4,15.7,640.788,24.8,944.599,7.2,19.4,30.4,533.15,2.076,1.185,3.119,4.304,29.8
05/06/2019 11:15:00,05/06/2019 11:15:59,3.27,158.6,58.7,16.3,640.725,24.7,1059.04,7.3,19.8,33.3,567.35,2.086,1.179,3.06,4.239,28.183
05/06/2019 11:16:00,05/06/2019 11:16:59,3.16,156.9,,,640.686,24.6,1044.36,7.3125,19.3,33,562.15,2.083,1.187,3.013,4.201,26.633
05/06/2019 11:17:00,05/06/2019 11:17:59,2.93,92.5,56.9,16.1,640.672,24.5,1062.18,7.2375,18.7,28.6,513.55,2.066,1.186,2.964,4.15,27.233
05/06/2019 11:18:00,05/06/2019 11:18:59,3.05,141.9,58.2,16.2,640.685,24.4,652.136,7.1714,18.9,28.7,485.55,2.056,1.177,2.916,4.089,30.8
05/06/2019 11:19:00,05/06/2019 11:19:59,3.23,171.7,58.1,15.9,640.725,24.3,537.953,7.2667,18.7,31.4,475.05,2.053,1.165,2.887,4.053,32.316
05/06/2019 11:20:00,05/06/2019 11:20:59,3.41,179.3,58.9,15.9,640.792,24.3,577.989,7.25,19,30.9,466.15,2.049,1.159,2.847,4.006,31.883
05/06/2019 11:21:00,05/06/2019 11:21:59,3.64,168.6,58,15.9,640.888,24.2,941.954,7.32,19,29.1,490.75,2.056,1.14,2.819,3.959,31.5
05/06/2019 11:22:00,05/06/2019 11:22:59,3.58,175.4,58.2,15.9,641.01,24.1,960.089,7.275,18.7,26.9,520.15,2.065,1.124,2.783,3.908,30.766
05/06/2019 11:23:00,05/06/2019 11:23:59,3.64,195.8,57.9,15.9,641.108,24.1,951.187,7.2625,18.9,27,537.05,2.078,1.101,2.725,3.827,30.333
05/06/2019 11:24:00,05/06/2019 11:24:59,3.62,204.5,58.1,16,641.182,24.1,978.161,7.2375,18.8,25.9,539.95,2.085,1.083,2.679,3.763,30.083
05/06/2019 11:25:00,05/06/2019 11:25:59,3.49,109.3,58.2,16.2,641.232,24.1,985.881,7.3,18.7,27.1,542.05,2.09,1.078,2.658,3.736,29.6
05/06/2019 11:26:00,05/06/2019 11:26:59,3.55,86.4,58,16.4,641.258,24,990.23,7.3333,18.6,25.1,545.95,2.098,1.074,2.648,3.722,29.216
05/06/2019 11:27:00,05/06/2019 11:27:59,3.41,98.9,57.1,16.4,641.261,23.9,982.067,7.3,18.8,27.5,525.25,2.09,1.076,2.641,3.717,29.4
05/06/2019 11:28:00,05/06/2019 11:28:59,3.41,78.9,57.1,16,641.265,23.8,1010.49,7.3,18.9,27.9,536.95,2.097,1.077,2.627,3.704,30.816
05/06/2019 11:29:00,05/06/2019 11:29:59,3.21,56.5,57.2,16,641.271,23.8,1007.18,7.2125,18.6,25.9,555.95,2.102,1.066,2.62,3.687,31.3
05/06/2019 11:30:00,05/06/2019 11:30:59,3.08,50.5,57,16.1,641.277,23.7,54.316,7.2286,18.4,24.9,560.65,2.105,1.059,2.608,3.666,31.933
05/06/2019 11:31:00,05/06/2019 11:31:59,2.98,86.3,57.5,16.5,641.282,23.6,985.241,7.2,18.8,27.8,557.25,2.105,1.053,2.59,3.643,31.75
05/06/2019 11:32:00,05/06/2019 11:32:59,2.94,115.7,56.4,16.6,641.284,23.5,1014.3,7.2857,18.6,30.4,534.75,2.096,1.044,2.591,3.636,32.233
05/06/2019 11:33:00,05/06/2019 11:33:59,2.84,120.9,55.6,16.5,641.285,23.5,1045.56,7.2857,18.6,30.7,523.55,2.09,1.062,2.618,3.681,33.3
05/06/2019 11:34:00,05/06/2019 11:34:59,2.82,159.6,55.6,16.7,641.284,23.6,1031.47,7.275,18.3,23.7,533.05,2.097,1.068,2.62,3.688,32.783
05/06/2019 11:35:00,05/06/2019 11:35:59,2.71,182.6,55.6,16.6,641.28,23.6,990.983,7.3286,19.2,27.6,554.35,2.107,1.056,2.641,3.696,31.7
05/06/2019 11:36:00,05/06/2019 11:36:59,2.56,207.3,55.9,16,641.274,23.6,1017.22,7.25,19.3,31.1,575.65,2.115,1.043,2.666,3.709,30.983
05/06/2019 11:37:00,05/06/2019 11:37:59,2.74,191.2,56.2,16.3,641.265,23.7,1024.26,7.2,18.5,29.7,594.65,2.119,1.036,2.676,3.712,30.2
05/06/2019 11:38:00,05/06/2019 11:38:59,2.71,138.7,55.1,17,641.252,23.7,1031.05,7.2,17.8,29,605.05,2.127,1.028,2.689,3.717,28.85
05/06/2019 11:39:00,05/06/2019 11:39:59,2.61,120.3,55.1,16.6,641.234,23.8,1022.9,8.6142,18.2,34.7,550.55,2.105,1.014,2.706,3.72,28.716
05/06/2019 11:40:00,05/06/2019 11:40:59,2.45,120.7,55.5,16.9,641.213,23.8,983.369,7.3,19.3,35.3,549.85,2.108,0.985,2.7,3.677,31
05/06/2019 11:41:00,05/06/2019 11:41:59,2.21,121.3,54.6,16.9,641.191,23.8,979.843,7.2857,19.2,34,517.95,2.091,0.927,2.66,3.584,32.483
05/06/2019 11:42:00,05/06/2019 11:42:59,2.06,123.1,54.8,16.5,641.168,23.8,983.359,7.1667,18.1,29.6,537.35,2.103,0.882,2.629,3.512,32.7
05/06/2019 11:43:00,05/06/2019 11:43:59,2,128.4,54,16.7,641.144,23.8,1003.51,7.2,18.1,27.7,551.65,2.106,0.862,2.587,3.449,31.666
05/06/2019 11:44:00,05/06/2019 11:44:59,2.05,127.9,53.5,16.9,641.122,23.9,1013.51,7.15,18,28.7,567.25,2.11,0.844,2.538,3.382,30.733
05/06/2019 11:45:00,05/06/2019 11:45:59,2.09,150.9,53,17.2,641.101,23.9,1006.98,9.4571,18.3,31.2,560.25,2.104,0.83,2.507,3.338,29.4
05/06/2019 11:46:00,05/06/2019 11:46:59,2.2,172.6,52.4,17.3,641.08,24,984.575,8.7,18.1,28.3,539.95,2.096,0.826,2.483,3.309,28.783
05/06/2019 11:47:00,05/06/2019 11:47:59,2.22,143.7,53.3,17.3,641.06,24.1,951.017,7.4286,17.6,25.9,525.95,2.092,0.836,2.477,3.313,28.95
05/06/2019 11:48:00,05/06/2019 11:48:59,2.35,172.7,54.5,17.2,641.039,24.1,971.604,7.3714,17.5,29.8,520.15,2.092,0.86,2.473,3.334,28.433
05/06/2019 11:49:00,05/06/2019 11:49:59,2.62,165.5,54.4,17.3,641.017,24.2,926.867,7.375,17.4,32.1,505.65,2.086,0.898,2.477,3.376,28.583
