gc_id,tvoc_ppb_1,tvoc_ppb_2,tvoc_ppb_3,tvoc_ppb_4,tvoc_ppb_5,tvoc_ppb_6,tvoc_ppb_7,tvoc_ppb_8,tvoc_ppb_9,wind_speed_1,wind_speed_2,wind_speed_3,wind_speed_4,wind_speed_5,wind_speed_6,wind_speed_7,wind_speed_8,wind_speed_9,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,wind_direction_6,wind_direction_7,wind_direction_8,wind_direction_9
10736,18.82857142857143,17.71666666666667,17.04285714285714,18.383333333333333,19.5,19.25,21.950000000000003,35.2,96.2,1.4864486248426452,1.4043507996609501,0.7056205025474397,0.450148730797578,0.9574813026877325,2.07646679744793,1.332428591683191,3.12851800659401,2.539514738109262,337.8060307176445,331.5753815624044,26.616045876432437,289.2185655342527,215.99788294500905,242.26454610597756,207.54155895238964,162.47888938839912,176.82569093932406
10737,316.84285714285716,75.4,37.6,37.233333333333334,37.18571428571428,36.88333333333333,36.02857142857143,35.56666666666667,35.45,2.5606107847159847,2.048929063513914,1.7974564042538685,2.914078649019487,3.621050629729816,4.824558895166523,3.7384172432018516,3.912044834874239,3.7791731713727805,179.40581214223943,128.624872066769,71.19096349796006,30.661672306774285,53.072797191856985,29.835384886796188,14.570943926608004,14.065947220864262,16.25615332346416
10738,35.72857142857143,34.31666666666666,34.471428571428575,31.05,66.38571428571429,23.116666666666667,31.157142857142855,24.983333333333334,23.049999999999997,4.970954202305272,3.1937415074363944,1.134915959711264,0.35431786452878833,2.333478230300668,2.423221012183373,3.580481287781279,1.535704933985043,2.430086290856983,18.787534541996767,4.95917017685202,26.169947407849083,138.31470733458994,199.78272095644834,233.6041595304165,242.1874965080724,275.4872305324555,218.540706578042
10740,34.971428571428575,37.3,38.92857142857143,43.3,218.92857142857144,41.61666666666667,46.5,38.71666666666667,193.13333333333333,4.718659405798103,3.7087001501234624,2.6967145951004396,2.662417960196263,1.8581127812833589,2.112129734030862,2.806053873505464,2.795687423322685,2.0457049027921035,154.0497454830548,160.53366232767775,151.51000524382067,155.1013188254299,174.78243403465663,156.2286810465843,184.22335387920242,169.4265359322161,184.4011812224652
10741,226.51428571428573,98.23333333333333,48.02857142857143,51.21666666666667,60.18571428571428,81.23333333333333,81.22857142857143,37.2,130.03333333333333,2.2376906410457322,3.2246149182000408,5.106308346894134,4.135549171519305,3.983093816951131,3.625939680613293,3.2367354922792875,4.180288247859183,2.7466851365242793,184.171374164146,213.17406182743895,225.85571715288125,217.94539023339294,228.65098532901814,225.25350236095326,219.11001910219335,227.26302517750975,171.42782856520506
10742,209.17142857142858,74.35000000000001,72.61428571428571,64.76666666666667,26.4,28.4,26.514285714285712,34.55,28.383333333333333,2.634446929893395,4.550860389094176,4.215593032288635,3.5287477602823984,4.891670565717681,3.8219528693128,4.596568644257722,3.942539677458704,4.288526340908967,194.45757312102987,225.4493355751044,225.46191561261483,224.8737653986723,222.28767365084636,232.99743371939303,228.9761409094556,223.26979639710865,231.43353326756892
10743,26.228571428571428,30.783333333333335,30.314285714285713,31.74,31.242857142857144,31.633333333333333,32.114285714285714,33.7,145.15,3.814669908095265,4.174616307359917,3.864374382858228,3.245290292125841,3.287252659429299,2.140883168904856,3.3798206142993275,3.441523894409414,3.0067229516664282,232.8908063800589,233.48352052107361,245.98161665539013,247.13872255145588,244.70495371115646,230.76684594012306,241.00702191091224,239.64324975016814,219.7631149866564
10744,110.15714285714286,119.38333333333334,197.3,NA,NA,NA,NA,NA,NA,2.4193715799197935,3.845878078497765,3.120032908523691,2.8260597174045525,2.8539081258705883,2.9055773342053346,2.4815087098315503,2.551012601826801,2.7543244834123835,206.86019301312228,226.69618291493774,224.8994070549548,200.77229544720183,212.8713568533895,210.6850994153124,173.1427666370477,204.88391586230156,183.43110203848065
10747,20.757142857142856,21.3,21.014285714285712,21.683333333333334,22.37142857142857,21.766666666666666,21.34285714285714,20.866666666666667,20,1.8764316608529554,2.0364220452941484,2.346830590185215,2.358297480220921,1.3909163784567113,2.552449628225638,2.338446040762691,1.5427161181974456,0.47417364202584944,20.626742190516403,355.2666420957454,132.42074996332397,189.8709132773932,343.3269271235077,316.8869650893582,305.3254520176848,39.28730511488925,320.620242059334
10748,20.514285714285716,21.75,22.15714285714286,23.266666666666666,22.728571428571428,22.366666666666667,21.65714285714286,22.35,22.65,1.7182188092470485,2.132587252480728,1.48519388925989,1.4948557792285524,1.1726950526125537,1.81736680508283,1.2926419161975615,1.7319684110765046,1.3364472312301627,131.9097636766067,219.42245964620113,340.4074942984437,312.76751982997837,331.52986842901765,313.1687808291917,302.30334290525735,297.95016433290266,301.25437400863285
10749,23.642857142857142,22.483333333333334,21.585714285714285,21.65,22.614285714285714,22.866666666666667,22.67142857142857,22.78333333333333,23.066666666666666,1.3324177211303923,1.6574396143996668,2.1250554391652265,2.013460105092594,1.5485484221229355,1.4828910649121654,1.6215143363679592,2.0623471783767044,1.8850415269211813,305.03016048981885,314.6083119698118,303.7241930426953,306.7552628113121,327.8560695734159,351.35497866870406,310.79779320597567,304.03037198029114,346.18048497985706
10750,22.4,22.416666666666664,23.82857142857143,25,26.157142857142855,25.733333333333334,25.95714285714286,26.583333333333332,26.766666666666666,2.3995517103840798,1.9425576503332727,1.584430751153785,0.9246411818340341,1.3028105321848142,1.695749954524237,1.604310039126186,0.7827140910969888,0.8100570350103202,300.90841721012964,314.4968070999378,310.1354882312534,355.00403930434453,344.96819343866866,336.13964183289215,317.93761384720796,358.37180978695596,350.7922879845298
10751,26.885714285714286,24.366666666666667,24.414285714285715,23.216666666666665,21.685714285714287,21.483333333333334,20.057142857142857,19.666666666666664,19.416666666666668,1.1483428951258583,0.6590051052210154,0.9134707664599474,1.6090708201907518,1.5355030940543113,2.7654710002119782,2.7669009824143034,3.153469545374545,4.318241073663048,307.8674347627114,340.5740712400448,350.8187308019125,308.9174539120072,350.8039088629281,318.21826465709927,323.23116485567533,332.65888881835315,14.062910974005534
