start,TVOCs,PIDtype
2021-02-06 8:13:54,120.71,SPOD
2021-02-06 8:14:24,120.74,SPOD
2021-02-06 8:14:55,120.66,SPOD
2021-02-06 8:15:26,120.63,SPOD
2021-02-06 8:15:56,120.78,SPOD
2021-02-06 8:16:26,120.97,SPOD
2021-02-06 8:16:56,121.15,SPOD
2021-02-06 8:17:26,121.5,SPOD
2021-02-06 8:17:56,121.88,SPOD
2021-02-06 8:18:26,122.29,SPOD
2021-02-06 8:18:56,122.76,SPOD
2021-02-06 8:19:26,123.29,SPOD
2021-02-06 8:19:56,124.23,SPOD
2021-02-06 8:20:27,124.98,SPOD
2021-02-06 8:20:57,125.33,SPOD
2021-02-06 8:21:27,125.45,SPOD
2021-02-06 8:21:57,125.61,SPOD
2021-02-06 8:22:27,125.54,SPOD
2021-02-06 8:22:57,125.5,SPOD
2021-02-06 8:23:27,125.34,SPOD
2021-02-06 8:23:57,125.04,SPOD
2021-02-06 8:24:27,124.61,SPOD
2021-02-06 8:24:58,124.26,SPOD
2021-02-06 8:25:28,124.05,SPOD
2021-02-06 8:25:58,124.36,SPOD
2021-02-06 8:26:28,124.35,SPOD
2021-02-06 8:26:58,124.57,SPOD
2021-02-06 8:27:28,124.67,SPOD
2021-02-06 8:27:58,124.31,SPOD
2021-02-06 8:28:30,123.8,SPOD
2021-02-06 8:29:12,123.59,SPOD
2021-02-06 8:29:42,122.75,SPOD
2021-02-06 8:30:12,122.11,SPOD
2021-02-06 8:30:42,121.71,SPOD
2021-02-06 8:31:13,121.24,SPOD
2021-02-06 8:31:43,121.23,SPOD
2021-02-06 8:32:13,121.35,SPOD
2021-02-06 8:32:43,121.37,SPOD
2021-02-06 8:33:13,121.28,SPOD
2021-02-06 8:33:43,121.16,SPOD
2021-02-06 8:34:13,120.77,SPOD
2021-02-06 8:34:43,120.45,SPOD
2021-02-06 8:35:13,120.58,SPOD
2021-02-06 8:35:44,120.4,SPOD
2021-02-06 8:36:14,120.43,SPOD
2021-02-06 8:36:44,120.5,SPOD
2021-02-06 8:37:15,120.33,SPOD
2021-02-06 8:37:45,120.22,SPOD
2021-02-06 8:38:15,119.94,SPOD
2021-02-06 8:38:45,119.75,SPOD
2021-02-06 8:39:15,119.71,SPOD
2021-02-06 8:39:45,119.47,SPOD
2021-02-06 8:40:15,119.21,SPOD
2021-02-06 8:40:46,118.92,SPOD
2021-02-06 8:41:16,118.6,SPOD
2021-02-06 8:41:46,118.55,SPOD
2021-02-06 8:42:16,118.54,SPOD
2021-02-06 8:42:46,118.66,SPOD
2021-02-06 8:43:16,118.99,SPOD
2021-02-06 8:43:46,119.18,SPOD
2021-02-06 8:44:18,119.55,SPOD
2021-02-06 8:45:19,120.04,SPOD
2021-02-06 8:45:49,119.87,SPOD
2021-02-06 8:46:19,119.91,SPOD
2021-02-06 8:46:50,120.13,SPOD
2021-02-06 8:47:21,120.14,SPOD
2021-02-06 8:47:51,120.06,SPOD
2021-02-06 8:48:21,119.85,SPOD
2021-02-06 8:48:51,119.8,SPOD
2021-02-06 8:49:21,119.64,SPOD
2021-02-06 8:49:51,119.52,SPOD
2021-02-06 8:50:21,119.43,SPOD
2021-02-06 8:50:51,119.24,SPOD
2021-02-06 8:51:22,119.39,SPOD
2021-02-06 8:51:52,119.28,SPOD
2021-02-06 8:52:22,119.26,SPOD
2021-02-06 8:52:52,119.27,SPOD
2021-02-06 8:53:22,119.25,SPOD
2021-02-06 8:53:52,119.14,SPOD
2021-02-06 8:54:22,119.31,SPOD
2021-02-06 8:54:52,119.53,SPOD
2021-02-06 8:55:22,119.62,SPOD
2021-02-06 8:55:53,119.98,SPOD
2021-02-06 8:56:23,120.29,SPOD
2021-02-06 8:56:54,120.55,SPOD
2021-02-06 8:57:24,120.71,SPOD
2021-02-06 8:57:54,120.81,SPOD
2021-02-06 8:58:24,121.02,SPOD
2021-02-06 8:58:54,121.38,SPOD
2021-02-06 8:59:24,121.49,SPOD
2021-02-06 8:59:54,121.57,SPOD
2021-02-06 9:00:28,121.71,SPOD
2021-02-06 9:00:59,121.78,SPOD
2021-02-06 9:01:29,121.92,SPOD
2021-02-06 9:01:59,122.12,SPOD
2021-02-06 9:02:30,122.23,SPOD
2021-02-06 9:03:00,122.42,SPOD
2021-02-06 9:03:30,122.6,SPOD
2021-02-06 9:04:00,122.73,SPOD
